'NIM','Kode MK','Nilai Huruf','Kelas','Semester'
'F1B014051','EC3208','B','P','2017/2018'
'F1B014097','EC3208','C','P','2017/2018'
'F1B015013','EC3208','B','P','2017/2018'
'F1B015018','EC3208','C+','P','2017/2018'
'F1B015040','EC3208','B+','P','2017/2018'
'F1B015044','EC3208','B+','P','2017/2018'
'F1B015047','EC3208','C','P','2017/2018'
'F1B015049','EC3208','C','P','2017/2018'
'F1B015059','EC3208','A','P','2017/2018'
'F1B015062','EC3208','B','P','2017/2018'
'F1B015064','EC3208','B+','P','2017/2018'
'F1B015068','EC3208','B+','P','2017/2018'
'F1B015080','EC3208','B','P','2017/2018'
'F1B015083','EC3208','C+','P','2017/2018'
'F1B015092','EC3208','B','P','2017/2018'
'F1B014017','EC4008','C','P','2017/2018'
'F1B014027','EC4008','B','P','2017/2018'
'F1B014051','EC4008','B+','P','2017/2018'
'F1B014055','EC4008','B+','P','2017/2018'
'F1B014088','EC4008','B','P','2017/2018'
'F1B015044','EC4008','B+','P','2017/2018'
'F1B015068','EC4008','B+','P','2017/2018'
'F1B015080','EC4008','B','P','2017/2018'
'F1B015083','EC4008','B','P','2017/2018'
'F1B013060','EC3207','D','P','2017/2018'
'F1B014017','EC3207','E','P','2017/2018'
'F1B014051','EC3207','D+','P','2017/2018'
'F1B014055','EC3207','C','P','2017/2018'
'F1B014079','EC3207','E','P','2017/2018'
'F1B014083','EC3207','D','P','2017/2018'
'F1B014088','EC3207','D+','P','2017/2018'
'F1B014096','EC3207','D+','P','2017/2018'
'F1B014097','EC3207','C','P','2017/2018'
'F1B015013','EC3207','B','P','2017/2018'
'F1B015018','EC3207','D+','P','2017/2018'
'F1B015020','EC3207','E','P','2017/2018'
'F1B015040','EC3207','A','P','2017/2018'
'F1B015044','EC3207','D+','P','2017/2018'
'F1B015047','EC3207','C','P','2017/2018'
'F1B015059','EC3207','B','P','2017/2018'
'F1B015062','EC3207','D+','P','2017/2018'
'F1B015064','EC3207','C','P','2017/2018'
'F1B015068','EC3207','D','P','2017/2018'
'F1B015080','EC3207','B','P','2017/2018'
'F1B015083','EC3207','B','P','2017/2018'
'F1B015092','EC3207','D+','P','2017/2018'
'F1B014096','EC4004','B+','P','2017/2018'
'F1B014017','EC3210','E','P','2017/2018'
'F1B014051','EC3210','B','P','2017/2018'
'F1B015013','EC3210','C+','P','2017/2018'
'F1B015038','EC3210','B','P','2017/2018'
'F1B015040','EC3210','B','P','2017/2018'
'F1B015044','EC3210','C+','P','2017/2018'
'F1B015047','EC3210','D+','P','2017/2018'
'F1B015049','EC3210','B','P','2017/2018'
'F1B015059','EC3210','A','P','2017/2018'
'F1B015062','EC3210','C','P','2017/2018'
'F1B015064','EC3210','B','P','2017/2018'
'F1B015068','EC3210','B+','P','2017/2018'
'F1B015080','EC3210','B','P','2017/2018'
'F1B015083','EC3210','C+','P','2017/2018'
'F1B015092','EC3210','C+','P','2017/2018'
'F1B013048','EC4007','B','P','2017/2018'
'F1B016090','EC4007','B','S','2017/2018'
'F1B013015','EC3206','B','B','2017/2018'
'F1B013047','EC3206','E','A','2017/2018'
'F1B014027','EC3206','C+','B','2017/2018'
'F1B014051','EC3206','C','B','2017/2018'
'F1B014088','EC3206','C+','B','2017/2018'
'F1B015010','EC3206','C','B','2017/2018'
'F1B015013','EC3206','C+','A','2017/2018'
'F1B015020','EC3206','E','B','2017/2018'
'F1B015033','EC3206','E','A','2017/2018'
'F1B015036','EC3206','A','B','2017/2018'
'F1B015038','EC3206','B','B','2017/2018'
'F1B015044','EC3206','A','B','2017/2018'
'F1B015047','EC3206','B','A','2017/2018'
'F1B015049','EC3206','C+','A','2017/2018'
'F1B015059','EC3206','A','A','2017/2018'
'F1B015062','EC3206','B+','B','2017/2018'
'F1B015064','EC3206','B+','B','2017/2018'
'F1B015068','EC3206','A','B','2017/2018'
'F1B015080','EC3206','A','B','2017/2018'
'F1B015083','EC3206','D','A','2017/2018'
'F1B015092','EC3206','B+','B','2017/2018'
'F1B212080','EC3206','C','B','2017/2018'
'F1B014051','EC3209','B+','R','2017/2018'
'F1B014079','EC3209','E','R','2017/2018'
'F1B015013','EC3209','B','R','2017/2018'
'F1B015018','EC3209','B+','R','2017/2018'
'F1B015040','EC3209','B+','R','2017/2018'
'F1B015044','EC3209','B+','R','2017/2018'
'F1B015047','EC3209','B+','R','2017/2018'
'F1B015049','EC3209','B+','R','2017/2018'
'F1B015059','EC3209','B+','R','2017/2018'
'F1B015062','EC3209','B+','R','2017/2018'
'F1B015064','EC3209','B+','R','2017/2018'
'F1B015068','EC3209','B','R','2017/2018'
'F1B015080','EC3209','B','R','2017/2018'
'F1B015083','EC3209','B+','R','2017/2018'
'F1B015092','EC3209','B','R','2017/2018'
'F1B014017','EC3205','E','P','2017/2018'
'F1B014023','EC3205','B','P','2017/2018'
'F1B014051','EC3205','C+','P','2017/2018'
'F1B014101','EC3205','D+','P','2017/2018'
'F1B015013','EC3205','C+','P','2017/2018'
'F1B015018','EC3205','C+','P','2017/2018'
'F1B015040','EC3205','B','P','2017/2018'
'F1B015044','EC3205','B','P','2017/2018'
'F1B015047','EC3205','C+','P','2017/2018'
'F1B015049','EC3205','C+','P','2017/2018'
'F1B015059','EC3205','B','P','2017/2018'
'F1B015062','EC3205','B','P','2017/2018'
'F1B015064','EC3205','B','P','2017/2018'
'F1B015068','EC3205','C+','P','2017/2018'
'F1B015080','EC3205','B','P','2017/2018'
'F1B015083','EC3205','C','P','2017/2018'
'F1B015092','EC3205','B','P','2017/2018'
'F1B012026','EC4002','E','P','2017/2018'
'F1B014083','EC4002','B','P','2017/2018'
'F1B014097','EC4002','E','P','2017/2018'
'F1B015018','EC4002','B','P','2017/2018'
'F1B015020','EC4002','E','P','2017/2018'
