'NIM','Kode MK','Nilai Huruf','Kelas','Semester'
'F1B014080','TPBU07202','K','B','2017/2018'
'F1B017001','TPBU07202','E','NULL','2017/2018'
'F1B017002','TPBU07202','E','NULL','2017/2018'
'F1B017003','TPBU07202','B+','NULL','2017/2018'
'F1B017004','TPBU07202','B','NULL','2017/2018'
'F1B017005','TPBU07202','B','NULL','2017/2018'
'F1B017006','TPBU07202','K','NULL','2017/2018'
'F1B017007','TPBU07202','C+','NULL','2017/2018'
'F1B017008','TPBU07202','K','NULL','2017/2018'
'F1B017009','TPBU07202','B','NULL','2017/2018'
'F1B017010','TPBU07202','C','NULL','2017/2018'
'F1B017011','TPBU07202','C+','NULL','2017/2018'
'F1B017012','TPBU07202','B+','NULL','2017/2018'
'F1B017013','TPBU07202','A','NULL','2017/2018'
'F1B017014','TPBU07202','K','NULL','2017/2018'
'F1B017015','TPBU07202','B','NULL','2017/2018'
'F1B017016','TPBU07202','B','NULL','2017/2018'
'F1B017017','TPBU07202','E','NULL','2017/2018'
'F1B017018','TPBU07202','B+','NULL','2017/2018'
'F1B017019','TPBU07202','B','NULL','2017/2018'
'F1B017020','TPBU07202','B','NULL','2017/2018'
'F1B017022','TPBU07202','B+','NULL','2017/2018'
'F1B017024','TPBU07202','K','NULL','2017/2018'
'F1B017026','TPBU07202','A','NULL','2017/2018'
'F1B017027','TPBU07202','E','NULL','2017/2018'
'F1B017028','TPBU07202','B','NULL','2017/2018'
'F1B017029','TPBU07202','K','NULL','2017/2018'
'F1B017030','TPBU07202','B','NULL','2017/2018'
'F1B017031','TPBU07202','B','NULL','2017/2018'
'F1B017032','TPBU07202','B','NULL','2017/2018'
'F1B017033','TPBU07202','B','NULL','2017/2018'
'F1B017034','TPBU07202','B','NULL','2017/2018'
'F1B017035','TPBU07202','B','NULL','2017/2018'
'F1B017036','TPBU07202','B','NULL','2017/2018'
'F1B017037','TPBU07202','B','NULL','2017/2018'
'F1B017038','TPBU07202','B','NULL','2017/2018'
'F1B017039','TPBU07202','A','NULL','2017/2018'
'F1B017040','TPBU07202','K','NULL','2017/2018'
'F1B017041','TPBU07202','A','NULL','2017/2018'
'F1B017042','TPBU07202','A','NULL','2017/2018'
'F1B017043','TPBU07202','A','NULL','2017/2018'
'F1B017044','TPBU07202','A','NULL','2017/2018'
'F1B017046','TPBU07202','A','NULL','2017/2018'
'F1B017047','TPBU07202','A','NULL','2017/2018'
'F1B017048','TPBU07202','B+','NULL','2017/2018'
'F1B017049','TPBU07202','A','NULL','2017/2018'
'F1B017050','TPBU07202','B+','NULL','2017/2018'
'F1B017051','TPBU07202','A','NULL','2017/2018'
'F1B017052','TPBU07202','B+','NULL','2017/2018'
'F1B017053','TPBU07202','B','NULL','2017/2018'
'F1B017055','TPBU07202','B+','NULL','2017/2018'
'F1B017056','TPBU07202','B+','NULL','2017/2018'
'F1B017057','TPBU07202','B+','NULL','2017/2018'
'F1B017058','TPBU07202','B+','NULL','2017/2018'
'F1B017059','TPBU07202','B+','NULL','2017/2018'
'F1B017060','TPBU07202','B+','NULL','2017/2018'
'F1B017061','TPBU07202','A','NULL','2017/2018'
'F1B017062','TPBU07202','B+','NULL','2017/2018'
'F1B017063','TPBU07202','B+','NULL','2017/2018'
'F1B017064','TPBU07202','C','NULL','2017/2018'
'F1B017065','TPBU07202','B+','NULL','2017/2018'
'F1B017066','TPBU07202','B+','NULL','2017/2018'
'F1B017067','TPBU07202','A','NULL','2017/2018'
'F1B017070','TPBU07202','A','NULL','2017/2018'
'F1B017071','TPBU07202','B+','NULL','2017/2018'
'F1B017072','TPBU07202','B+','NULL','2017/2018'
'F1B017074','TPBU07202','A','NULL','2017/2018'
'F1B017075','TPBU07202','B','NULL','2017/2018'
'F1B017076','TPBU07202','B','NULL','2017/2018'
'F1B017077','TPBU07202','B','NULL','2017/2018'
'F1B017078','TPBU07202','B','NULL','2017/2018'
'F1B017079','TPBU07202','B','NULL','2017/2018'
'F1B017080','TPBU07202','B','NULL','2017/2018'
'F1B017081','TPBU07202','B','NULL','2017/2018'
'F1B017082','TPBU07202','B','NULL','2017/2018'
'F1B017083','TPBU07202','B+','NULL','2017/2018'
'F1B017084','TPBU07202','B+','NULL','2017/2018'
'F1B017085','TPBU07202','B+','NULL','2017/2018'
'F1B017086','TPBU07202','B+','NULL','2017/2018'
'F1B017087','TPBU07202','B+','NULL','2017/2018'
'F1B017088','TPBU07202','B+','NULL','2017/2018'
'F1B017089','TPBU07202','B+','NULL','2017/2018'
'F1B017090','TPBU07202','B+','NULL','2017/2018'
'F1B017091','TPBU07202','B+','NULL','2017/2018'
'F1B017092','TPBU07202','B+','NULL','2017/2018'
'F1B017093','TPBU07202','B+','NULL','2017/2018'
'F1B017094','TPBU07202','B+','NULL','2017/2018'
'F1B017095','TPBU07202','B+','NULL','2017/2018'
'F1B017096','TPBU07202','B+','NULL','2017/2018'
'F1B017097','TPBU07202','B+','NULL','2017/2018'
'F1B013002','TPBU03203','B','B','2017/2018'
'F1B013030','TPBU03203','C+','B','2017/2018'
'F1B013049','TPBU03203','C+','A','2017/2018'
'F1B013085','TPBU03203','D','A','2017/2018'
'F1B013090','TPBU03203','B','B','2017/2018'
'F1B015007','TPBU03203','D','A','2017/2018'
'F1B015022','TPBU03203','C+','B','2017/2018'
'F1B015033','TPBU03203','D','A','2017/2018'
'F1B015065','TPBU03203','B+','A','2017/2018'
'F1B015077','TPBU03203','C','A','2017/2018'
'F1B016025','TPBU03203','B','A','2017/2018'
'F1B017001','TPBU03203','C+','NULL','2017/2018'
'F1B017002','TPBU03203','B','NULL','2017/2018'
'F1B017003','TPBU03203','B+','NULL','2017/2018'
'F1B017004','TPBU03203','B+','NULL','2017/2018'
'F1B017005','TPBU03203','B+','NULL','2017/2018'
'F1B017006','TPBU03203','B','NULL','2017/2018'
'F1B017007','TPBU03203','B','NULL','2017/2018'
'F1B017008','TPBU03203','B','NULL','2017/2018'
'F1B017009','TPBU03203','B+','NULL','2017/2018'
'F1B017010','TPBU03203','B','NULL','2017/2018'
'F1B017011','TPBU03203','B+','NULL','2017/2018'
'F1B017012','TPBU03203','B','NULL','2017/2018'
'F1B017013','TPBU03203','B','NULL','2017/2018'
'F1B017014','TPBU03203','K','NULL','2017/2018'
'F1B017015','TPBU03203','A','NULL','2017/2018'
'F1B017016','TPBU03203','K','NULL','2017/2018'
'F1B017017','TPBU03203','K','NULL','2017/2018'
'F1B017018','TPBU03203','B','NULL','2017/2018'
'F1B017019','TPBU03203','B','NULL','2017/2018'
'F1B017020','TPBU03203','B','NULL','2017/2018'
'F1B017022','TPBU03203','B','NULL','2017/2018'
'F1B017024','TPBU03203','B','NULL','2017/2018'
'F1B017026','TPBU03203','B','NULL','2017/2018'
'F1B017027','TPBU03203','B','NULL','2017/2018'
'F1B017028','TPBU03203','B','NULL','2017/2018'
'F1B017029','TPBU03203','B','NULL','2017/2018'
'F1B017030','TPBU03203','B+','NULL','2017/2018'
'F1B017031','TPBU03203','B+','NULL','2017/2018'
'F1B017032','TPBU03203','B+','NULL','2017/2018'
'F1B017033','TPBU03203','B+','NULL','2017/2018'
'F1B017034','TPBU03203','B+','NULL','2017/2018'
'F1B017035','TPBU03203','B+','NULL','2017/2018'
'F1B017036','TPBU03203','E','NULL','2017/2018'
'F1B017037','TPBU03203','B+','NULL','2017/2018'
