'NIM','Kode MK','Nilai Huruf','Kelas','Semester'
'F1B011017','ES2121','C','P','2017/2018'
'F1B012006','ES2121','B','P','2017/2018'
'F1B014060','ES2121','E','P','2017/2018'
'F1B014073','ES2121','E','P','2017/2018'
'F1B014079','ES2121','E','P','2017/2018'
'F1B014097','ES2121','E','P','2017/2018'
'F1B015002','ES2121','C','P','2017/2018'
'F1B015005','ES2121','B','P','2017/2018'
'F1B015015','ES2121','C','P','2017/2018'
'F1B015016','ES2121','B','P','2017/2018'
'F1B015018','ES2121','B','P','2017/2018'
'F1B015022','ES2121','B','P','2017/2018'
'F1B015026','ES2121','B','P','2017/2018'
'F1B015031','ES2121','D+','P','2017/2018'
'F1B015039','ES2121','C+','P','2017/2018'
'F1B015052','ES2121','B','P','2017/2018'
'F1B015053','ES2121','K','P','2017/2018'
'F1B015058','ES2121','B','P','2017/2018'
'F1B016016','ES2121','E','P','2017/2018'
'F1B016040','ES2121','C','P','2017/2018'
'F1B016051','ES2121','C','P','2017/2018'
'F1B016060','ES2121','C','P','2017/2018'
'F1B016066','ES2121','C','P','2017/2018'
'F1B016070','ES2121','C','P','2017/2018'
'F1B016072','ES2121','E','P','2017/2018'
'F1B016088','ES2121','E','P','2017/2018'
'F1B016089','ES2121','B','P','2017/2018'
'F1B011017','ES2124','B','P','2017/2018'
'F1B012006','ES2124','B','P','2017/2018'
'F1B013037','ES2124','C+','P','2017/2018'
'F1B013057','ES2124','C+','P','2017/2018'
'F1B014027','ES2124','C+','P','2017/2018'
'F1B014030','ES2124','B','P','2017/2018'
'F1B014031','ES2124','C+','P','2017/2018'
'F1B014047','ES2124','C+','P','2017/2018'
'F1B014051','ES2124','C+','P','2017/2018'
'F1B014059','ES2124','C+','P','2017/2018'
'F1B014060','ES2124','B','P','2017/2018'
'F1B014062','ES2124','C+','P','2017/2018'
'F1B014073','ES2124','C+','P','2017/2018'
'F1B014074','ES2124','C+','P','2017/2018'
'F1B014083','ES2124','B','P','2017/2018'
'F1B014088','ES2124','B','P','2017/2018'
'F1B014096','ES2124','B','P','2017/2018'
'F1B014097','ES2124','C+','P','2017/2018'
'F1B015002','ES2124','B','P','2017/2018'
'F1B015013','ES2124','B','P','2017/2018'
'F1B015033','ES2124','B','P','2017/2018'
'F1B015038','ES2124','B','P','2017/2018'
'F1B015048','ES2124','B','P','2017/2018'
'F1B015060','ES2124','B','P','2017/2018'
'F1B015071','ES2124','B','P','2017/2018'
'F1B015073','ES2124','B','P','2017/2018'
'F1B015080','ES2124','C+','P','2017/2018'
'F1B016008','ES2124','K','P','2017/2018'
'F1B016015','ES2124','B','P','2017/2018'
'F1B016016','ES2124','B','P','2017/2018'
'F1B016018','ES2124','B','P','2017/2018'
'F1B016027','ES2124','B','P','2017/2018'
'F1B016028','ES2124','B','P','2017/2018'
'F1B016037','ES2124','B','P','2017/2018'
'F1B016039','ES2124','B','P','2017/2018'
'F1B016064','ES2124','K','P','2017/2018'
'F1B016077','ES2124','B','P','2017/2018'
'F1B016088','ES2124','K','P','2017/2018'
'F1B016089','ES2124','B','P','2017/2018'
'F1B016098','ES2124','B','P','2017/2018'
'F1B012067','ES2229','C','P','2017/2018'
'F1B012069','ES2229','E','P','2017/2018'
'F1B013048','ES2229','C','P','2017/2018'
'F1B013049','ES2229','E','P','2017/2018'
'F1B013093','ES2229','E','P','2017/2018'
'F1B014008','ES2229','E','P','2017/2018'
'F1B014055','ES2229','C+','P','2017/2018'
'F1B014088','ES2229','E','P','2017/2018'
'F1B015002','ES2229','E','P','2017/2018'
'F1B015007','ES2229','C','P','2017/2018'
'F1B015015','ES2229','B','P','2017/2018'
'F1B015026','ES2229','B','P','2017/2018'
'F1B015038','ES2229','D','P','2017/2018'
'F1B015041','ES2229','B','P','2017/2018'
'F1B015048','ES2229','C','P','2017/2018'
'F1B015052','ES2229','C','P','2017/2018'
'F1B015053','ES2229','C','P','2017/2018'
'F1B015055','ES2229','B','P','2017/2018'
'F1B015057','ES2229','D','P','2017/2018'
'F1B015058','ES2229','C+','P','2017/2018'
'F1B015060','ES2229','D+','P','2017/2018'
'F1B015073','ES2229','C','P','2017/2018'
'F1B016016','ES2229','D','P','2017/2018'
'F1B016064','ES2229','E','P','2017/2018'
'F1B011017','ES2234','C+','P','2017/2018'
'F1B011069','ES2234','K','P','2017/2018'
'F1B011090','ES2234','C+','P','2017/2018'
'F1B012006','ES2234','K','P','2017/2018'
'F1B012055','ES2234','B','P','2017/2018'
'F1B012069','ES2234','D+','P','2017/2018'
'F1B013012','ES2234','C+','P','2017/2018'
'F1B013032','ES2234','K','P','2017/2018'
'F1B013049','ES2234','C','P','2017/2018'
'F1B014062','ES2234','C','P','2017/2018'
'F1B014074','ES2234','C','P','2017/2018'
'F1B014082','ES2234','C','P','2017/2018'
'F1B015009','ES2234','C+','P','2017/2018'
'F1B015022','ES2234','C+','P','2017/2018'
'F1B015039','ES2234','C+','P','2017/2018'
'F1B015053','ES2234','C','P','2017/2018'
'F1B015073','ES2234','C+','P','2017/2018'
'F1B016027','ES2234','C+','P','2017/2018'
'F1B016028','ES2234','C+','P','2017/2018'
'F1B016067','ES2234','B','P','2017/2018'
'F1B212008','ES2234','C','P','2017/2018'
