'NIM','Kode MK','Nilai Huruf','Kelas','Semester'
'F1B112011','ES2121','B','S','2017/2018'
'F1B112026','ES2121','C','S','2017/2018'
'F1B113034','ES2121','B','S','2017/2018'
'F1B115026','ES2121','B','S','2017/2018'
'F1B116005','ES2121','B','S','2017/2018'
'F1B116007','ES2121','C','S','2017/2018'
'F1B116020','ES2121','C','S','2017/2018'
'F1B116022','ES2121','C','S','2017/2018'
'F1B116024','ES2121','C+','S','2017/2018'
'F1B112004','ES2124','C+','S','2017/2018'
'F1B112026','ES2124','C+','S','2017/2018'
'F1B113028','ES2124','C+','S','2017/2018'
'F1B114012','ES2124','C+','S','2017/2018'
'F1B114021','ES2124','C+','S','2017/2018'
'F1B115004','ES2124','C+','S','2017/2018'
'F1B115005','ES2124','C+','S','2017/2018'
'F1B115015','ES2124','B','S','2017/2018'
'F1B115016','ES2124','B','S','2017/2018'
'F1B115018','ES2124','B','S','2017/2018'
'F1B115020','ES2124','C+','S','2017/2018'
'F1B115021','ES2124','B','S','2017/2018'
'F1B115023','ES2124','B','S','2017/2018'
'F1B116014','ES2124','B','S','2017/2018'
'F1B116021','ES2124','B','S','2017/2018'
'F1B116033','ES2124','B','S','2017/2018'
'F1B112011','ES2229','D','S','2017/2018'
'F1B114007','ES2229','E','S','2017/2018'
'F1B114011','ES2229','E','S','2017/2018'
'F1B114021','ES2229','C','S','2017/2018'
'F1B115030','ES2229','E','S','2017/2018'
'F1B111010','ES2234','C+','S','2017/2018'
'F1B112004','ES2234','C+','S','2017/2018'
'F1B114021','ES2234','C+','S','2017/2018'
